	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-0.012261289297545	0.0265120043430131	0.309576413825446	0.843361111391401
FGBKPADF_00002	44167.2608204198	-0.0231988383396583	0.0342519096608846	0.139841641557191	0.707235371500717
FGBKPADF_00003	2980.68037100898	-0.0137244888365056	0.0373350326616396	0.373954268802084	0.868725259194267
FGBKPADF_00004	21707.5237219873	-0.0179198453202738	0.0319222043565605	0.21483392473273	0.790399978027669
FGBKPADF_00005	5377.55947189653	-0.00987466801642943	0.029142283301354	0.456558750716038	0.902038629117025
FGBKPADF_00006	21579.1602970582	-0.00785952273248182	0.0247149151102377	0.493976673304095	0.906210357381978
FGBKPADF_00007	20787.8712152457	-0.0349433002340634	0.0441771964928456	0.0802934103551007	0.563416180506129
FGBKPADF_00008	4283.01148300481	0.000571388090689945	0.026288332644884	0.963045553392549	0.997068986083689
FGBKPADF_00009	12620.644095348	-0.00449620774207087	0.0294924047684367	0.735994076369839	0.970198847416489
FGBKPADF_00010	17980.6045342341	0.00327776647475839	0.022872985044337	0.76442034600149	0.977223340134237
FGBKPADF_00011	10144.2920849877	-0.0171233473654314	0.0374412874783808	0.282558509081143	0.826206016073072
FGBKPADF_00012	15698.0504330402	0.00900062702002186	0.0414121638221212	0.526969269641254	0.91461540422961
FGBKPADF_00013	4105.75946092359	-0.0141714444507178	0.0441162843293698	0.339212921465855	0.850973314243342
FGBKPADF_00014	14757.5458795108	0.00595697798999216	0.0368195611220899	0.679197361069555	0.957857103985202
FGBKPADF_00015	230.038531374243	-0.00359136574862983	0.0445380089102636	0.765665365048664	0.977223340134237
FGBKPADF_00016	3776.79569518889	-0.00294461462591373	0.0314834471179981	0.83067443444944	0.982948226709972
FGBKPADF_00017	5065.15535976975	0.0291307672771544	0.0412537766586729	0.114295159575415	0.664091617938998
FGBKPADF_00018	112.518475994937	-0.0066352802104274	0.0477978303971795	0.548931900733422	0.923034808826895
FGBKPADF_00019	292.678530909378	-0.0569984189459556	0.100000223396923	0.010419461917247	0.245224686045326
FGBKPADF_00020	862.407028301334	0.00901567903497855	0.0354535099341634	0.539235603342206	0.91922647657317
FGBKPADF_00021	2662.45815279695	-0.0528257621690279	0.0540140317921554	0.0290947467028381	0.381039595115972
FGBKPADF_00022	9903.49482605844	0.00548707149242957	0.0280948980225617	0.67100358129793	0.952318774983242
