	baseMean	log2FoldChange	lfcSE	pvalue	padj
FGBKPADF_00001	52605.0567820962	-1.69434618015403	0.0463212765828287	2.53756351665907e-294	4.02254568660796e-292
FGBKPADF_00002	44167.2608204198	-1.81704963776612	0.0487607684251316	3.02726865021798e-305	5.71288840991136e-303
FGBKPADF_00003	2980.68037100898	-2.1923622292594	0.0871204287157799	8.9674557536472e-141	3.90527770897844e-139
FGBKPADF_00004	21707.5237219873	-2.02242543812623	0.0516053872538271	0	0
FGBKPADF_00005	5377.55947189653	-2.60095394030968	0.0622838853068663	0	0
FGBKPADF_00006	21579.1602970582	-2.31896600849511	0.0510965653512393	0	0
FGBKPADF_00007	20787.8712152457	-1.62213263660823	0.0635322845485448	3.19278560084143e-145	1.42168644226231e-143
FGBKPADF_00008	4283.01148300481	-1.08877021840403	0.0647152955500269	2.21260140992914e-64	3.16553768503581e-63
FGBKPADF_00009	12620.644095348	-1.18417858242302	0.072683663629918	1.02932198080396e-60	1.37810912497503e-59
FGBKPADF_00010	17980.6045342341	-1.16947282242282	0.0531643274995797	2.96444331878146e-108	8.76723050173949e-107
FGBKPADF_00011	10144.2920849877	-1.38216613048168	0.0765606896678978	3.47847608922324e-74	6.04614067613672e-73
FGBKPADF_00012	15698.0504330402	-1.55875106321429	0.131330028213865	6.45828968350722e-34	4.90310383443278e-33
FGBKPADF_00013	4105.75946092359	-1.68531692577645	0.132458623731757	1.70958887543142e-38	1.47605680029078e-37
FGBKPADF_00014	14757.5458795108	-0.982543102132148	0.104540470421498	1.14320083448624e-21	5.57943954072531e-21
FGBKPADF_00015	230.038531374243	1.84073169345638	0.183613322560322	5.45872115960294e-25	3.05981781548889e-24
FGBKPADF_00016	3776.79569518889	0.445728426987224	0.0812701562153963	3.16169854690142e-08	7.89166685028836e-08
FGBKPADF_00017	5065.15535976975	0.327583100043139	0.0619197367211838	1.04198913241348e-07	2.48459863523142e-07
FGBKPADF_00018	112.518475994937	-1.62602239420417	0.24066381407024	5.55236981740516e-13	1.82757820484856e-12
FGBKPADF_00019	292.678530909378	-3.01032721615532	0.198663790749065	5.33868753994237e-53	6.09718118754802e-52
FGBKPADF_00020	862.407028301334	-0.370213942005155	0.0895638060732269	2.92122485684729e-05	5.81457263068098e-05
FGBKPADF_00021	2662.45815279695	-0.71518935217603	0.0754249273950075	1.18894700218667e-21	5.78844836568278e-21
FGBKPADF_00022	9903.49482605844	-0.65139786204747	0.0659927570266191	3.07294167719584e-23	1.6044885199904e-22
FGBKPADF_00023	11303.6570539827	-0.0306881481265705	0.0565463731160972	0.584755681173901	0.63822273877504
FGBKPADF_00024	21097.286058777	0.0583959559685665	0.0571991597893891	0.303804814906226	0.359182124544563
FGBKPADF_00025	6226.9972583577	-0.12611844505326	0.0721969003239748	0.0773720165876079	0.103694724970135
FGBKPADF_00026	3450.76154968265	-3.95368218884317	0.0934578499809963	0	0
FGBKPADF_00027	1298.14242404278	-2.85673996789082	0.125858361128966	4.10163424981471e-115	1.35456471100131e-113
FGBKPADF_00028	1136.43818664084	-2.64654913076204	0.115625597563574	5.99901718498214e-117	2.04949181931761e-115
FGBKPADF_00029	1485.82266045424	-2.37225457163119	0.0906998743617887	8.99678646751881e-152	4.14584474078803e-150
FGBKPADF_00030	426.949165564484	-0.97853600961777	0.125336839687914	1.22319478832627e-15	4.59480658401612e-15
FGBKPADF_00031	2397.59033480278	-0.0392858284141596	0.0890592667126018	0.654469773618008	0.702509131323989
